ROMANIAN,ENGLISH,ITALIAN,GERMAN,FRENCH,SPANISH
"România","Romania","Romania","Rumänien","Roumanie","Rumanía"
"București","Bucharest","Bucarest","Bukarest","Bucarest","Bucarest"
"Moldova","Moldova","Moldavia","Moldawien","Moldavie","Moldavia"
"Chișinău","Chisinau","Chisinau","Chisinau","Chisinau","Chisinau"
"Australia","Australia","Australia","Australien","Australie","Australia"
"Canberra","Canberra","Canberra","Canberra","Canberra","Canberra"
"Spania","Spain","Spagna","Spanien","Espagne","España"
"Madrid","Madrid","Madrid","Madrid","Madrid","Madrid"
"Italia","Italy","Italia","Italien","Italie","Italia"
"Roma","Rome","Roma","Rom","Rome","Roma"
"Elveția","Switzerland","Svizzera","Schweiz","Suisse","Suiza"
"Berna","Bern","Berna","Bern","Berne","Berna"
"Japonia","Japan","Giappone","Japan","Japon","Japón"
"Tokyo","Tokyo","Tokyo","Tokio","Tokyo","Tokio"
"Franța","France","Francia","Frankreich","France","Francia"
"Paris","Paris","Parigi","Paris","Paris","París"
"Regatul Unit","United Kingdom","Regno Unito","Vereinigtes Königreich","Royaume-Uni","Reino Unido"
"Londra","London","Londra","London","Londres","Londres"
"Statele Unite","United States","Stati Uniti","Vereinigte Staaten","États-Unis","Estados Unidos"
"Washington D.C.","Washington D.C.","Washington D.C.","Washington D.C.","Washington D.C.","Washington D.C."
"Canada","Canada","Canada","Kanada","Canada","Canadá"
"Ottawa","Ottawa","Ottawa","Ottawa","Ottawa","Ottawa"
